NOMBRE DISTRITO;Nº DISTRITO;Recien plantado y no consolidado (RPLyNC);Altura Media (Hmedia)_RPLyNC;Joven (J);Hmedia_J;Maduro (M);Hmedia_M;Viejo (V);Hmedia_V;Otros (O);Hmedia_O;Nº Total árboles;;
CENTRO;1;979;4,10;4644;5,78;5307;10,68;247;17,50;104;6,44;11.281;;
ARGANZUELA;2;1548;4,02;5816;4,95;15453;9,35;395;15,34;474;5,01;23.686;;
RETIRO;3;731;4,19;4795;5,64;8260;10,22;679;16,85;333;6,48;14.798;;
SALAMANCA;4;1332;4,46;6732;6,39;11656;10,97;536;17,44;383;6,37;20.639;;
CHAMARTIN;5;1479;4,27;7378;5,05;16649;10,18;285;13,15;327;6,36;26.118;;
TETUAN;6;1078;4,62;4324;4,93;9365;10,04;36;13,63;113;5,76;14.916;;
CHAMBERI;7;1237;4,01;3856;5,90;6368;10,87;1434;16,32;169;8,42;13.064;;
FUENCARRAL - EL PARDO;8;7777;4,29;19472;5,57;24280;9,62;4184;14,10;2007;5,63;57.720;;
MONCLOA - ARAVACA;9;2780;4,49;9441;5,47;18967;10,39;2420;15,73;916;5,75;34.524;;
LATINA;10;3403;4,10;9413;4,81;21993;8,82;942;14,10;2098;5,25;37.849;;
CARABANCHEL;11;1611;4,47;14166;6,18;24516;9,72;262;12,69;1063;5,75;41.618;;
USERA;12;1509;3,37;9041;5,68;20165;9,47;188;12,38;1037;6,49;31.940;;
PUENTE DE VALLECAS;13;3939;3,04;18885;6,12;22416;9,90;256;9,03;1027;6,81;46.523;;
MORATALAZ;14;1399;2,75;9108;5,94;13617;10,81;409;11,39;547;8,11;25.080;;
CIUDAD LINEAL;15;1316;4,28;7905;4,64;24427;8,01;903;13,34;2923;5,91;37.474;;
HORTALEZA;16;2208;4,20;14167;4,70;26943;7,36;4770;5,02;3556;5,52;51.644;;
VILLAVERDE;17;1546;3,53;17469;5,22;19992;10,38;219;14,06;1353;6,41;40.579;;
VILLA DE VALLECAS;18;2362;3,08;28620;5,07;5235;10,38;96;13,92;675;3,82;36.988;;
VICALVARO;19;2473;3,32;15881;5,72;5588;8,96;50;6,44;303;4,75;24.295;;
SAN BLAS - CANILLEJAS;20;1356;4,00;8360;4,47;25017;8,16;594;10,41;2959;6,19;38.286;;
BARAJAS;21;924;4,12;5185;4,79;9295;7,60;179;8,47;711;6,19;16.294;;
Total general;;42.987;;224.658;;335.509;;19.084;;23.078;;645.316;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Datos incluidos del CI5 (unidades arbóreas de Zonas Verdes, Arbolado Viario y Arbolado de ZZVV con tipología viaria);;;;;;;;;;;;;;
No se incluyen los datos del CI6 (Parques históricos, singulares y forestales);;;;;;;;;;;;;;
Los valores de Altura Media están expresados en metros;;;;;;;;;;;;;;
"En Edad Fenológica = Otros se consideran los árboles clasificados como ""Decrépitos""";;;;;;;;;;;;;;
