NOMBRE DISTRITO;Nº DISTRITO;Recien plantado y no consolidado (RPLyNC);Altura Media (Hmedia)_RPLyNC;Joven (J);Hmedia_J;Maduro (M);Hmedia_M;Viejo (V);Hmedia_V;Otros (O);Hmedia_O;Nº Total árboles
CENTRO;1;1517;3,98;4595;5,77;5235;10,70;239;17,51;355;6,73;11.941
ARGANZUELA;2;1904;4,23;5908;4,98;15222;9,37;411;15,35;534;4,90;23.979
RETIRO;3;930;4,35;4895;5,64;8331;10,21;659;16,47;360;5,06;15.175
SALAMANCA;4;1639;4,52;6623;6,41;11361;10,99;517;17,14;397;7,70;20.537
CHAMARTIN;5;1679;4,22;7294;5,06;16412;10,23;277;13,30;389;6,39;26.051
TETUAN;6;1211;4,18;4362;4,94;9258;10,01;35;13,59;126;5,56;14.992
CHAMBERI;7;1555;3,63;4064;5,83;6254;10,86;1388;16,33;236;6,31;13.497
FUENCARRAL - EL PARDO;8;7319;4,35;20549;5,52;23931;9,59;4140;14,08;2832;4,81;58.771
MONCLOA - ARAVACA;9;3295;4,40;8899;5,56;17834;10,44;2145;16,08;1219;7,88;33.392
LATINA;10;3581;4,44;9205;5,03;20891;8,80;844;13,99;3016;5,30;37.537
CARABANCHEL;11;1856;3,84;14116;6,23;23968;9,73;242;12,82;1175;5,60;41.357
USERA;12;1527;3,75;9057;5,73;19844;9,47;181;12,43;1096;6,52;31.705
PUENTE DE VALLECAS;13;4143;3,22;18433;6,19;21540;9,94;242;9,00;941;5,51;45.299
MORATALAZ;14;1723;3,17;8584;6,10;12989;10,86;381;11,68;531;5,59;24.208
CIUDAD LINEAL;15;1802;4,03;7857;4,63;24189;8,01;890;13,25;3006;7,39;37.744
HORTALEZA;16;2617;4,17;14003;4,69;26505;7,36;4597;5,02;5845;6,09;53.567
VILLAVERDE;17;1584;3,64;17409;5,36;19734;10,40;211;14,00;1636;6,57;40.574
VILLA DE VALLECAS;18;2738;3,31;27541;5,26;5059;10,36;95;13,95;848;4,07;36.281
VICALVARO;19;3430;3,36;17665;5,53;5400;8,96;47;7,43;272;4,15;26.814
SAN BLAS - CANILLEJAS;20;1541;3,89;8879;4,48;24812;8,16;581;10,38;3002;6,55;38.815
BARAJAS;21;1039;4,19;5139;4,78;9051;7,59;161;8,75;855;7,50;16.245
Total general;;48.630;;225.077;;327.820;;18.283;;28.671;;648.481
;;;;;;;;;;;;
;;;;;;;;;;;;
Datos incluidos del CI5 (unidades arbóreas de Zonas Verdes, Arbolado Viario y Arbolado de ZZVV con tipología viaria);;;;;;;;;;;;
No se incluyen los datos del CI6 (Parques históricos, singulares y forestales);;;;;;;;;;;;
Tampoco se han considerado los árboles que dependen de las Juntas Municipales de  Distrito;;;;;;;;;;;;
;;;;;;;;;;;;
Los valores de Altura Media están expresados en metros;;;;;;;;;;;;
"En Edad Fenológica = Otros se consideran los árboles clasificados como ""Decrépitos"", los tocones y los árboles en proceso de clasificación";;;;;;;;;;;;
