distrito;altura_promedio_(m);perimetro_promedio_(cm);recien_plantado_y_no_consolidado;joven;maduro;viejo;otros;total_general;;;;;;
centro;7,67;50,01;855;4.827;5.962;272;28;11.944;;;;;;
chamberi;9,83;65,44;888;3.881;6.894;1.587;12;13.262;;;;;;
tetuan;9,71;61,87;640;4.639;9.769;43;69;15.160;;;;;;
arganzuela;8,14;69,25;1797;5.366;16.454;154;327;24.098;;;;;;
chamartin;8,49;73,11;2026;6.522;17.558;234;534;26.874;;;;;;
retiro;9,15;73,05;590;5.547;8.159;568;340;15.204;;;;;;
salamanca;7,60;54,41;2116;7.473;12.584;156;356;22.685;;;;;;
fuencarral_-_el_pardo;7,76;58,71;8859;17.030;27.653;1.008;1.881;56.431;;;;;;
latina;8,44;67,76;2960;10.331;25.149;641;2.218;41.299;;;;;;
moncloa_-_aravaca;8,39;67,03;2103;9.067;19.605;2.540;1.013;34.328;;;;;;
barajas;7,13;52,18;405;3.331;9.372;182;501;13.791;;;;;;
ciudad_lineal;8,38;71,04;623;8.386;27.353;989;1.816;39.167;;;;;;
hortaleza;7,22;55,63;1116;8.876;28.569;5.274;1.745;45.580;;;;;;
san_blas_-_canillejas;7,58;62,10;818;8.531;26.801;640;2.870;39.660;;;;;;
moratalaz;8,46;73,74;449;9.449;14.014;437;397;24.746;;;;;;
puente_de_vallecas;8,00;63,26;1384;19.818;23.418;265;1.164;46.049;;;;;;
vicalvaro;6,76;48,73;476;16.293;5.670;53;328;22.820;;;;;;
villa_de_vallecas;5,52;36,35;1187;29.301;5.461;102;557;36.608;;;;;;
carabanchel;8,88;64,22;674;14.469;24.614;303;341;40.401;;;;;;
usera;8,38;65,46;509;9.463;21.145;186;618;31.921;;;;;;
villaverde;7,17;52,80;741;18.250;21.062;255;453;40.761;;;;;;
total_general;7,99;61,15;31.216;220.850;357.266;15.889;17.568;642.789;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
datos_incluidos_del_ci5_(unidades_arboreas_de_zonas_verdes,_arbolado_viario_y_arbolado_de_zzvv_con_tipologia_viaria);;;;;;;;;;;;;;
no_se_incluyen_los_datos_del_ci6_(parques_historicos,_singulares_y_forestales);;;;;;;;;;;;;;
